universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
realistic,momentum,momentum,30D,4H,spearman,design,113,0.006361361498488546,0.2660620931255668,0.7993723617251691,False
realistic,momentum,momentum,30D,12H,spearman,design,113,-0.005664538754486427,0.2387829814783112,0.8009065305634255,False
realistic,momentum,momentum,30D,1D,spearman,design,113,-0.010665132378056021,0.23771675683152121,0.6334189799384562,False
realistic,momentum,momentum,30D,3D,spearman,design,113,-0.030844908992940446,0.24594056357745536,0.18246895295631937,False
realistic,momentum,momentum,30D,7D,spearman,design,113,-0.028503748961158752,0.19801329358247688,0.12596839879168586,False
realistic,momentum,momentum,30D,14D,spearman,design,113,-0.03519137510616729,0.2064727536392404,0.07001552277920735,False
realistic,momentum,momentum,30D,30D,spearman,design,113,-0.027979762002611944,0.23712900438853007,0.20973598761083112,False
realistic,momentum,momentum,30D,30D,pearson,design,113,-0.013225460046753226,0.251644410310347,0.5763804849288847,False
realistic,momentum,momentum,30D,1H,spearman,validation,83,-0.024591599480629278,0.2292463984720259,0.3284257731187151,False
realistic,momentum,momentum,30D,4H,spearman,validation,83,-0.011552978832623729,0.2201961884576757,0.6326538633510269,False
realistic,momentum,momentum,30D,12H,spearman,validation,83,-0.00847902889754507,0.22197015174921922,0.7278333600211214,False
realistic,momentum,momentum,30D,1D,spearman,validation,83,0.006721623335447051,0.24438273242054062,0.8021404982323745,False
realistic,momentum,momentum,30D,3D,spearman,validation,83,0.011779448621553886,0.233794063257056,0.6462206229581549,False
realistic,momentum,momentum,30D,7D,spearman,validation,83,-0.016290726817042613,0.23569547440333405,0.5288960345270068,False
realistic,momentum,momentum,30D,14D,spearman,validation,83,-0.004429749071473867,0.21572029413716007,0.8515979741993385,False
realistic,momentum,momentum,30D,30D,spearman,validation,83,-0.09538605550019627,0.20364888259381095,1.9795122384672305e-05,True
realistic,momentum,momentum,30D,30D,pearson,validation,83,-0.09158435179218417,0.21255918244789015,8.659700863263077e-05,True
realistic,momentum,multi_horizon_momentum,combo,1H,spearman,design,113,0.0006682831493100305,0.2508962626624103,0.9774114904535637,False
realistic,momentum,multi_horizon_momentum,combo,4H,spearman,design,113,0.008636081353827041,0.2384504954560698,0.7002393938491562,False
realistic,momentum,multi_horizon_momentum,combo,12H,spearman,design,113,0.0046679361078385655,0.22208013942352298,0.8231956858565996,False
realistic,momentum,multi_horizon_momentum,combo,1D,spearman,design,113,0.011201905075024889,0.25657833048217765,0.6425764336105042,False
realistic,momentum,multi_horizon_momentum,combo,3D,spearman,design,113,0.00973565485812397,0.26076505480353335,0.6914587932785862,False
realistic,momentum,multi_horizon_momentum,combo,7D,spearman,design,113,-0.0039544462405362735,0.23865627382282828,0.8601858525218878,False
realistic,momentum,multi_horizon_momentum,combo,14D,spearman,design,113,-0.021756532142433126,0.22354224688363095,0.3008593061302435,False
realistic,momentum,multi_horizon_momentum,combo,30D,spearman,design,113,-0.030026165100413706,0.24873290315525745,0.1994101146541104,False
realistic,momentum,multi_horizon_momentum,combo,1H,spearman,validation,83,-0.06494549627079747,0.23664026882422162,0.01240734242073457,False
realistic,momentum,multi_horizon_momentum,combo,4H,spearman,validation,83,-0.03751849503276264,0.21755139400248016,0.11614366466361904,False
realistic,momentum,multi_horizon_momentum,combo,12H,spearman,validation,83,-0.00947851556602349,0.22419598711940777,0.7001120694091986,False
realistic,momentum,multi_horizon_momentum,combo,1D,spearman,validation,83,0.0027629314249479203,0.21399361434513753,0.9063629278157963,False
realistic,momentum,multi_horizon_momentum,combo,3D,spearman,validation,83,-0.02920856357761873,0.23400826397587274,0.25547526151147504,False
realistic,momentum,multi_horizon_momentum,combo,7D,spearman,validation,83,-0.061433704743787176,0.22489574543780153,0.012822770550619785,False
realistic,momentum,multi_horizon_momentum,combo,14D,spearman,validation,83,-0.07180602107678836,0.1998938832782696,0.001065419298892431,False
realistic,momentum,multi_horizon_momentum,combo,30D,spearman,validation,83,-0.00478908113657638,0.19548721322757612,0.8233883730822426,False
realistic,momentum,multi_timeframe_confirmation,combo,1H,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,4H,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,12H,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,1D,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,3D,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,7D,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,14D,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,30D,spearman,design,0,,,,False
realistic,momentum,multi_timeframe_confirmation,combo,1H,spearman,validation,41,-0.012901775493548356,0.25353021866561415,0.7445412800894893,False
realistic,momentum,multi_timeframe_confirmation,combo,4H,spearman,validation,41,0.004622413187390496,0.2210004559518544,0.893460450513932,False
realistic,momentum,multi_timeframe_confirmation,combo,12H,spearman,validation,41,-0.008688962494695395,0.21849076077472337,0.7990010945161352,False
realistic,momentum,multi_timeframe_confirmation,combo,1D,spearman,validation,41,-0.02876242363538681,0.20315691221637003,0.36465139284511316,False
realistic,momentum,multi_timeframe_confirmation,combo,3D,spearman,validation,41,-0.03018826354091533,0.2366642142892211,0.41406236308248867,False
realistic,momentum,multi_timeframe_confirmation,combo,7D,spearman,validation,41,-0.026916448103613568,0.2288498522083237,0.45138316183287386,False
realistic,momentum,multi_timeframe_confirmation,combo,14D,spearman,validation,41,-0.015552532402683394,0.2284313816334086,0.6628725738486544,False
realistic,momentum,multi_timeframe_confirmation,combo,30D,spearman,validation,41,0.08362947124681737,0.20498314762778122,0.008991935989347069,False
realistic,mean_reversion,distance_from_ma,1H,1H,spearman,design,113,-0.027327004392814415,0.22442530495858393,0.19553663362577367,False
realistic,mean_reversion,distance_from_ma,1H,1H,pearson,design,113,-0.023151543096219678,0.20639934920711775,0.23311641287072649,False
realistic,mean_reversion,distance_from_ma,1H,4H,spearman,design,113,0.014128925906645846,0.23431147212316858,0.5215257637743728,False
realistic,mean_reversion,distance_from_ma,1H,12H,spearman,design,113,0.031677351890919386,0.2490496964023866,0.1763500378951275,False
realistic,mean_reversion,distance_from_ma,1H,1D,spearman,design,113,0.012229787117455272,0.21558896754993004,0.5464955043548578,False
realistic,mean_reversion,distance_from_ma,1H,3D,spearman,design,113,0.0025350009589303855,0.23263285289643829,0.907781937188626,False
realistic,mean_reversion,distance_from_ma,1H,7D,spearman,design,113,-0.003214014995844635,0.23707455526471108,0.8854114969446881,False
realistic,mean_reversion,distance_from_ma,1H,14D,spearman,design,113,-0.023094240024840864,0.22409098230176938,0.2732908697025739,False
realistic,mean_reversion,distance_from_ma,1H,30D,spearman,design,113,-0.01354238015653397,0.25440143714476937,0.5714839351310632,False
realistic,mean_reversion,distance_from_ma,1H,1H,spearman,validation,83,-0.021197572243862668,0.2432401209421692,0.4272279387854093,False
realistic,mean_reversion,distance_from_ma,1H,1H,pearson,validation,83,-0.016947853631434317,0.23936852114784743,0.5189011996670281,False
realistic,mean_reversion,distance_from_ma,1H,4H,spearman,validation,83,-0.012830268442189815,0.22313053114500966,0.6003754551907492,False
realistic,mean_reversion,distance_from_ma,1H,12H,spearman,validation,83,0.027354530905577195,0.21478966765381924,0.24594338731016296,False
realistic,mean_reversion,distance_from_ma,1H,1D,spearman,validation,83,0.05350424253404595,0.2513358152060983,0.052449664769405616,False
realistic,mean_reversion,distance_from_ma,1H,3D,spearman,validation,83,0.0610955098589848,0.26179552784676535,0.033493944127795654,False
