universe,family,signal,own_horizon,fwd_horizon,method,region,n_periods,mean_ic,std_ic,analytic_p,bh_significant
null,relative_strength,relative_strength,12H,1H,spearman,validation,83,0.033016275628831096,0.23907679729419973,0.2083403665816228,False
null,relative_strength,relative_strength,12H,4H,spearman,validation,83,0.0321798472083824,0.2628330351294251,0.2646653715310642,False
null,relative_strength,relative_strength,12H,12H,spearman,validation,83,0.032095298487181824,0.22528687999048908,0.19431827761216613,False
null,relative_strength,relative_strength,12H,12H,pearson,validation,83,0.03536025331404888,0.24405047122228082,0.18683417369972277,False
null,relative_strength,relative_strength,12H,1D,spearman,validation,83,0.025696772050608444,0.21888193728930225,0.28481458917980973,False
null,relative_strength,relative_strength,12H,3D,spearman,validation,83,-0.01818401425249872,0.227379083283526,0.4662575355925713,False
null,relative_strength,relative_strength,12H,7D,spearman,validation,83,-0.04040221034513995,0.2316174496511482,0.11201992109034398,False
null,relative_strength,relative_strength,12H,14D,spearman,validation,83,-0.0207234954857022,0.24137526596154377,0.43410606123129714,False
null,relative_strength,relative_strength,12H,30D,spearman,validation,83,-0.030769695322643956,0.2331886758450397,0.22930957223272252,False
null,relative_strength,relative_strength,1D,1H,spearman,design,113,0.036793017160287496,0.24102515237994265,0.10465033698034698,False
null,relative_strength,relative_strength,1D,4H,spearman,design,113,0.01851146606756349,0.25504572373933343,0.4403831922240272,False
null,relative_strength,relative_strength,1D,12H,spearman,design,113,0.015975323524845427,0.2265643978407634,0.45352930007491044,False
null,relative_strength,relative_strength,1D,1D,spearman,design,113,0.006201083134697754,0.24894037580526496,0.7911666117721634,False
null,relative_strength,relative_strength,1D,1D,pearson,design,113,0.002013875851007433,0.24900639515008535,0.9314879855377499,False
null,relative_strength,relative_strength,1D,3D,spearman,design,113,0.006259532224627153,0.24151363997624514,0.7829234348307411,False
null,relative_strength,relative_strength,1D,7D,spearman,design,113,0.015507045855137586,0.24556535572523694,0.5020446460478469,False
null,relative_strength,relative_strength,1D,14D,spearman,design,113,0.03556581458852754,0.23891474124891351,0.11354767752351344,False
null,relative_strength,relative_strength,1D,30D,spearman,design,113,0.001724476469674961,0.2560773579076936,0.9429317467904227,False
null,relative_strength,relative_strength,1D,1H,spearman,validation,83,0.020756711054745306,0.24540817724935673,0.44096557391095026,False
null,relative_strength,relative_strength,1D,4H,spearman,validation,83,0.006244526980100855,0.2643715669605082,0.8296185065536484,False
null,relative_strength,relative_strength,1D,12H,spearman,validation,83,0.008666243923060661,0.2420581628554218,0.7442922101958926,False
null,relative_strength,relative_strength,1D,1D,spearman,validation,83,0.011827762176525647,0.22557032972311816,0.6328602881532642,False
null,relative_strength,relative_strength,1D,1D,pearson,validation,83,0.018281624625236723,0.24589132232687327,0.4981863914028688,False
null,relative_strength,relative_strength,1D,3D,spearman,validation,83,-0.030787812905758365,0.22486372257210702,0.21225849910069483,False
null,relative_strength,relative_strength,1D,7D,spearman,validation,83,-0.033073647975360096,0.23371122402651828,0.19730661106145297,False
null,relative_strength,relative_strength,1D,14D,spearman,validation,83,-0.024032974001268224,0.25404614696034533,0.3887675932735948,False
null,relative_strength,relative_strength,1D,30D,spearman,validation,83,-0.013775402361324997,0.251430242844999,0.6176779671449482,False
null,relative_strength,relative_strength,3D,1H,spearman,design,113,0.01598080312702631,0.2361328964442476,0.47188337988624784,False
null,relative_strength,relative_strength,3D,4H,spearman,design,113,0.029183447948345615,0.23791696501967055,0.19226140786970802,False
null,relative_strength,relative_strength,3D,12H,spearman,design,113,0.0008938601057563182,0.2518700331717101,0.9699067333151365,False
null,relative_strength,relative_strength,3D,1D,spearman,design,113,0.002339790131236468,0.23651796566433242,0.9162485783223013,False
null,relative_strength,relative_strength,3D,3D,spearman,design,113,0.006615478049626928,0.26850804443879933,0.7933949807077478,False
